,metros_quadrados,num_quartos,num_banheiros,vagas_garagem,bairro,mobiliado,preco_vendido
1,65.0,2,1,1,Centro,True,395812.25
2,80.0,2,2,1,Centro,False,451555.2
3,50.0,1,1,0,Uvaranas,False,194875.0
4,120.0,4,2,2,Jardim Carvalho,True,881408.4
5,45.0,1,1,1,Oficinas,True,230723.62
6,70.0,2,1,1,Uvaranas,False,294000.0
7,90.0,3,2,2,Centro,True,591734.25
8,100.0,3,2,2,Jardim Carvalho,False,634450.0
9,62.0,2,1,1,Oficinas,False,289386.1
10,55.0,1,1,1,Uvaranas,True,257523.75
11,75.0,2,2,1,Oficinas,False,354675.0
12,140.0,4,3,2,Jardim Carvalho,True,1032850.0
13,48.0,1,1,0,Centro,False,261619.2
14,85.0,3,2,2,Uvaranas,True,427438.75
15,68.0,2,2,1,Oficinas,True,348128.8
16,110.0,3,2,2,Centro,True,709665.0
17,42.0,1,1,0,Uvaranas,False,165900.0
18,130.0,4,3,2,Jardim Carvalho,False,801320.0
19,72.0,2,1,1,Oficinas,True,361710.0
20,58.0,2,1,1,Centro,False,322410.0
21,88.0,3,2,2,Uvaranas,True,444620.0
22,150.0,4,3,3,Jardim Carvalho,True,1111612.5
23,67.0,2,1,1,Oficinas,False,308625.0
24,78.0,2,2,1,Centro,True,489480.0
25,95.0,3,2,2,Uvaranas,False,394250.0
26,105.0,3,2,2,Jardim Carvalho,True,771382.5
27,53.0,2,1,1,Oficinas,True,276812.5
28,82.0,3,2,1,Centro,False,462330.0
29,63.0,2,1,1,Uvaranas,True,293370.0
30,115.0,3,2,2,Jardim Carvalho,False,709500.0
31,70.0,2,2,1,Oficinas,False,329000.0
32,92.0,3,2,2,Centro,True,609480.0
33,51.0,1,1,0,Uvaranas,False,201450.0
34,135.0,4,3,2,Jardim Carvalho,True,994275.0
35,49.0,1,1,1,Oficinas,True,252875.0
36,73.0,2,1,1,Centro,False,401500.0
37,80.0,3,2,2,Uvaranas,True,405600.0
38,160.0,4,3,3,Jardim Carvalho,False,984000.0
39,60.0,2,1,1,Oficinas,False,270000.0
40,85.0,3,2,1,Centro,True,537375.0
41,68.0,2,1,1,Uvaranas,False,272000.0
42,125.0,3,2,2,Jardim Carvalho,True,903125.0
43,78.0,3,2,1,Oficinas,True,401700.0
44,55.0,2,1,0,Centro,False,296000.0
45,90.0,3,2,2,Uvaranas,True,456750.0
46,98.0,3,2,2,Jardim Carvalho,False,599000.0
47,66.0,2,2,1,Oficinas,False,315000.0
48,76.0,2,2,1,Centro,True,479900.0
49,74.0,2,1,1,Uvaranas,False,305000.0
50,112.0,3,2,2,Jardim Carvalho,True,810300.0
51,50.0,1,1,1,Oficinas,False,234464.996969163
52,80.0,2,1,1,Oficinas,True,401900.0
53,80.0,2,1,1,Centro,True,507998.68506041943
